,preco,vendido,idade_do_modelo,km_por_ano
78,31250.34,1,20,34109.9613
79,46864.83,1,12,30324.79362
80,18905.64,1,19,25973.13826
81,90767.87,0,13,10333.57214
82,92508.98,0,14,19402.20304
83,90378.63,0,19,27970.3292
84,42569.3,1,12,16004.8863
85,62620.45,0,10,27093.2389
86,60101.5,1,20,6939.47408
87,48978.94,1,14,21129.02486
88,69271.08,0,5,46534.0661
89,82495.58,0,19,25498.38296
90,11979.47,1,19,20860.26508
91,77816.76,0,13,15285.51132
92,41273.9,1,16,25578.84996
93,103459.05,1,10,17892.64212
94,73901.01,0,7,20041.11102
95,75390.33,0,15,20972.91888
96,75457.92,1,8,22723.8808
97,75285.5,1,16,22194.40794
98,95177.42,1,18,13800.0905
99,95676.08,0,14,36963.32112
100,45343.51,1,16,27358.78
101,96467.94,0,20,29727.72848
102,90684.94,0,20,9229.5649
103,43390.38,1,6,19711.19632
104,105329.2,0,7,21318.92698
105,84517.72,1,7,15480.24146
106,61696.4,0,20,17068.66004
107,38245.75,1,18,26895.29008
108,79957.38,1,13,18890.43292
109,91674.9,0,15,13692.26472
110,96028.69,0,11,18135.65246
111,103326.66,1,3,14278.06448
112,107562.56,0,6,14590.27644
113,35738.06,1,13,18309.46118
114,32582.02,1,13,23293.58716
115,26871.75,1,16,21534.57854
116,103336.64,1,15,17738.14548
117,44303.89,0,14,18013.34262
118,58770.23,1,19,22673.99126
119,95838.99,0,7,29307.69074
120,80921.29,0,15,23403.02228
121,94786.28,0,13,22638.58578
122,102461.86,1,20,26539.625939999998
123,66761.79,0,19,31948.61768
124,95016.78,1,9,15946.95006
125,23334.06,1,19,20660.70692
126,66311.2,0,8,15166.42016
127,20199.69,1,16,17234.42206
128,74419.32,0,6,24391.15704
129,76829.64,0,6,22099.45688
130,72033.52,0,18,11989.583
131,101257.79,1,16,36540.0647
132,41923.42,1,6,26126.02556
133,16547.2,1,17,17348.6852
134,94912.13,0,19,19529.3409
135,39284.89,1,5,19743.38312
136,58005.41,1,12,18481.66056
137,22629.92,1,12,24534.3883
138,66930.86,0,6,15126.18666
139,40436.0,0,19,33152.404
140,51383.65,1,13,28034.7028
141,79893.16,1,9,20152.15548
142,72450.5,0,19,14857.426879999999
143,56535.6,1,19,28313.11862
144,81437.98,0,17,21008.32436
145,66587.22,0,13,25384.11982
146,96076.38,0,13,21035.68314
147,98132.27,1,20,16404.00262
148,99431.8,0,10,23800.52926
149,35021.38,1,13,20242.27852
150,96253.86,0,14,24262.40984
151,84931.89,0,19,23151.96524
152,45154.74,1,9,24412.07846
153,78835.63,1,14,15024.79824
154,58980.31,1,20,16938.303499999998
155,64465.21,1,4,18941.9318
156,38315.73,1,13,22715.8341
157,90298.67,0,7,10689.23628
158,52555.22,0,10,15377.243699999999
159,24441.23,1,18,25940.95146
160,107431.11,0,9,22210.50134
161,64096.95,0,10,10882.35708
162,53669.06,1,5,19069.06966
163,60693.34,0,18,31340.28716
164,83884.53,0,9,39367.67508
165,68563.86,1,19,17326.15444
166,82261.92,0,17,26669.98248
167,116027.14,1,16,31543.064
168,33361.66,1,14,26195.22718
169,40174.67,0,5,18191.97936
170,100872.41,0,11,23214.7295
171,91729.32,1,14,22352.12326
172,37220.88,1,11,12448.2449
173,42932.35,1,20,22097.84754
174,105354.79,0,6,12316.27902
175,70237.57,0,12,38917.05988
176,27085.34,1,20,29854.86634
177,103986.22,0,14,13006.685879999999
178,53868.23,1,19,30010.97232
179,103445.43,0,16,13499.14392
180,50956.1,0,14,31601.00024
181,41999.23,1,15,18069.66952
182,42653.18,1,18,19312.079999999998
183,98138.6,0,14,14226.5656
184,77999.11,0,16,40849.87722
185,30009.3,1,11,20636.56682
186,97198.21,0,10,22101.06622
187,46167.55,1,16,19529.3409
188,33977.16,1,12,22226.59474
189,101201.24,0,5,19633.948
190,24148.18,1,15,16589.07672
191,83091.96,0,11,30221.79586
192,38810.77,1,12,11217.0998
193,64021.74,0,19,19360.3602
194,59679.59,1,17,10840.51424
195,70260.51,1,20,30957.26424
196,33855.29,1,20,34832.55496
197,90108.76,1,17,23831.10672
198,70021.62,0,3,12470.77566
199,88631.4,1,6,19606.58922
200,94664.91,0,12,19434.38984
201,99968.88,0,11,10534.73964
202,50061.13,1,10,10454.27264
203,60974.59,1,14,17347.07586
204,82931.27,0,18,25213.52978
205,39039.59,1,19,28853.85686
206,53963.73,1,8,29595.7626
207,15305.7,1,16,13484.65986
208,45718.37,0,7,13833.88664
209,96180.51,1,12,17477.4324
210,39007.92,1,11,14039.88216
211,88150.84,0,19,40202.92254
212,97110.55,1,10,17932.87562
213,86931.31,0,12,41989.28994
214,24341.89,1,18,19711.19632
215,42751.8,1,7,14603.15116
216,71739.52,0,15,31454.5503
217,65241.32,0,12,9720.4136
218,73067.51,1,19,12546.414639999999
219,60570.37,1,20,19447.26456
220,64984.26,0,18,17305.23302
221,80657.07,1,16,17340.6385
222,83781.08,0,15,17817.00314
223,23448.52,1,17,40312.35766
224,39346.34,1,17,18682.82806
225,71532.28,0,12,35738.61338
226,70118.54,0,18,44361.4571
227,70719.34,1,15,13558.6895
228,36936.61,1,20,18119.55906
229,95422.54,1,10,17899.07948
230,60788.08,0,18,22836.5346
231,73153.25,1,20,22727.09948
232,72758.98,0,19,22947.57906
233,41366.51,1,17,19139.88062
234,54764.77,0,5,46458.42712
235,62605.17,1,13,19184.94214
236,37530.15,1,12,17911.9542
237,61726.41,0,20,15699.1117
238,67703.88,0,7,18259.57164
239,65691.55,0,16,34575.06056
240,38234.77,1,10,15708.76774
241,97033.21,0,17,44709.07454
242,34119.04,1,11,25894.2806
243,95342.37,0,16,17540.19666
244,65200.08,0,15,30371.46448
245,73548.4,0,12,35302.48224
246,40769.51,1,19,21616.65488
247,48927.78,1,15,43510.11624
248,80858.31,0,18,24122.39726
249,48885.2,1,15,13381.6621
250,35631.97,1,15,33134.70126
251,79025.54,0,11,41706.0461
252,49590.78,0,11,24487.71744
253,24614.46,1,16,13507.19062
254,85914.82,0,12,23491.53598
255,84192.06,1,5,14176.67606
256,110558.98,0,2,21143.50892
257,78617.01,0,14,23277.49376
258,58933.0,1,17,44393.6439
259,45677.29,1,7,21674.59112
260,78547.52,1,18,16083.74396
261,41605.44,1,17,29302.86272
262,30481.01,1,19,14128.39586
263,105677.42,1,8,22947.57906
264,45817.6,1,14,16379.86252
265,96407.65,0,9,33071.937
266,80183.01,0,20,29280.33196
267,48616.33,1,3,21829.08776
268,58761.47,1,9,15264.589899999999
269,56037.14,1,17,25826.68832
270,34621.52,1,17,31884.24408
271,108416.34,1,2,22113.94094
272,97926.72,0,8,35428.01076
273,65811.04,1,8,19101.25646
274,50146.34,0,9,17013.94248
275,109215.68,1,12,12388.69932
276,56158.82,0,17,26669.98248
277,25495.31,1,16,35936.5622
278,93179.79,1,6,12737.9261
279,80301.3,0,10,24289.76862
280,80608.35,1,7,14897.66038
281,70524.3,1,7,7567.11668
282,50307.59,1,20,22461.55838
283,52763.86,0,14,21439.62748
284,74560.79,0,13,36160.26046
285,50272.61,1,19,40040.3792
286,48031.11,1,8,16899.67934
287,60835.06,0,12,11479.42222
288,103001.47,0,20,19942.94128
289,44724.71,0,20,30814.03298
290,62896.9,0,11,36837.7926
291,36757.34,1,6,26769.76156
292,99345.47,0,11,16881.976599999998
293,35187.66,1,19,27790.08312
294,60494.2,0,19,29125.83532
295,32140.32,1,10,28507.84876
296,72494.65,0,20,17791.2537
297,60963.98,1,8,20902.10792
298,29846.95,1,16,28556.12896
299,96629.93,0,18,19221.95696
300,17099.53,1,18,27522.932679999998
301,91871.81,0,9,21837.13446
302,105254.27,1,17,20264.80928
303,66800.19,0,19,26694.12258
304,71884.55,0,7,28174.71538
305,99362.45,1,18,36623.75038
306,65502.27,0,15,15823.03088
307,61589.68,0,4,25079.95456
308,85528.69,1,20,18676.3907
309,51048.1,1,15,30892.89064
310,89204.35,0,4,15993.62092
311,34106.61,1,13,18766.51374
312,93591.27,1,15,21375.25388
313,42460.74,1,20,13911.13496
314,105170.22,1,14,14928.23784
315,89394.0,0,20,40396.04334
316,81849.27,0,8,22532.36934
317,21698.45,1,16,32835.36402
318,67026.41,1,19,11736.91662
319,58795.57,1,16,30422.96336
320,32578.24,1,17,34398.03316
321,106744.63,0,6,14073.6783
322,50227.03,1,10,21243.288
323,29275.66,1,20,26056.82394
324,87249.72,0,5,26843.7912
325,60412.78,0,20,43189.857579999996
326,58403.01,1,19,14707.75826
327,60611.05,1,20,20229.4038
328,51375.39,0,4,15045.71966
329,94724.39,1,8,23721.6716
330,115907.54,1,10,26518.70452
331,108072.15,1,19,27757.89632
332,71393.18,1,19,15267.80858
333,64356.4,0,18,35276.7328
334,65512.96,0,17,19514.85684
335,73526.68,0,13,37296.4545
336,86962.43,1,18,17083.1441
337,75308.4,1,9,16587.46738
338,77450.66,0,16,21203.0545
339,87133.58,0,17,27038.52134
340,72921.91,0,11,12243.85872
341,54881.34,1,7,38868.77968
342,51414.06,1,13,25649.66092
343,73995.74,0,13,31010.37246
344,58540.97,0,20,28734.7657
345,92527.23,0,11,25704.37848
346,67457.71,0,17,11506.780999999999
347,42270.45,1,19,46300.7118
348,66502.41,0,4,10655.44014
349,76128.49,0,13,11889.80392
350,48176.44,1,18,29302.86272
351,99855.89,0,12,14025.3981
352,32988.68,1,6,10317.47874
353,95672.85,0,14,24714.63438
354,40562.78,1,17,12787.81564
355,89447.12,1,8,14393.936959999999
356,101020.51,1,9,35482.72832
357,61876.6,0,18,31213.1493
358,10523.62,1,19,16106.27472
359,50350.21,1,19,15018.36088
360,71042.66,1,15,14163.80134
361,89330.23,1,10,34900.14724
362,38275.15,1,16,28480.48998
363,56944.59,0,12,21080.74466
364,71172.51,0,15,15563.92714
365,21425.97,1,14,13499.14392
366,33195.17,1,19,21911.164099999998
367,80133.35,1,16,23794.0919
368,95451.76,0,11,31866.54134
369,75429.15,0,13,17788.03502
370,73828.87,0,12,30344.1057
371,53441.7,0,9,12639.75636
372,87397.7,0,14,31018.41916
373,40425.74,1,20,31802.16774
374,59712.76,1,14,21463.76758
375,53620.03,1,15,13666.51528
376,69926.45,0,13,23996.86874
377,99947.31,1,10,22717.44344
378,71901.77,0,17,28297.02522
379,75606.69,0,7,28269.66644
380,100109.51,1,17,27355.56132
381,54470.12,1,13,17501.5725
382,55234.23,0,16,37721.32026
383,16100.55,1,19,14265.18976
384,27837.75,1,16,30543.66386
385,92347.47,1,13,23351.5234
386,51786.94,1,12,13785.60644
387,88147.2,1,12,18473.61386
388,48748.05,1,16,20945.5601
389,82718.96,1,20,19648.43206
390,47725.66,1,16,17321.32642
391,96824.04,1,19,11065.82184
392,70160.04,0,10,44688.15312
393,106663.84,1,16,19772.35124
394,12679.47,1,20,14714.19562
395,53256.53,0,7,27310.4998
396,75329.62,0,12,38556.56772
397,42410.77,1,14,22569.38416
398,48904.71,0,18,14855.81754
399,38707.38,1,7,32890.08158
400,87000.67,1,17,19304.0333
401,55680.57,0,12,17902.29816
402,31682.9,1,18,31578.46948
403,59919.38,1,10,30899.328
404,98076.26,1,13,12453.07292
405,97051.88,0,12,23018.39002
406,31384.59,1,18,36831.35524
407,100902.05,1,18,16838.52442
408,52934.42,1,11,21708.38726
409,78931.13,0,15,24288.15928
410,82494.0,1,20,17129.81496
411,52238.42,1,20,21819.43172
412,53840.35,1,16,20390.3378
413,35711.03,1,9,24038.71158
414,81582.81,0,11,22714.22476
415,83509.77,1,18,20763.70468
416,32167.57,1,19,17881.37674
417,114609.66,1,7,15351.49426
418,54940.25,0,18,19168.84874
419,100368.11,1,19,13166.01054
420,48481.31,0,9,28462.78724
421,68456.86,0,19,10138.842
422,81234.8,0,9,33382.53962
423,27338.23,1,19,15359.54096
424,83224.59,0,7,33846.02954
425,16021.54,1,20,33710.84498
426,110580.13,0,17,21841.96248
427,80300.46,0,8,27989.64128
428,103801.19,0,5,29372.06434
429,55874.91,1,14,19394.15634
430,46315.44,0,20,22200.8453
431,75938.53,0,15,25234.4512
432,55401.34,1,10,25411.4786
433,65761.48,0,13,9298.76652
434,27817.54,1,19,10814.7648
435,19850.82,1,19,13912.7443
436,95755.37,0,4,32141.73848
437,40400.53,1,8,18797.0912
438,110690.57,1,14,26921.03952
439,27716.48,1,17,28937.54254
440,70343.39,0,14,32742.0223
441,98412.88,0,10,12364.55922
442,80541.59,0,17,38450.35128
443,96096.25,0,11,21652.06036
444,77244.26,0,17,32075.75554
445,68299.71,0,12,21896.68004
446,111244.38,0,13,17062.22268
447,90401.7,1,13,14038.27282
448,26955.05,1,13,18163.01124
449,60646.51,0,9,29166.06882
450,83964.09,1,15,18191.97936
451,84740.57,0,18,15872.92042
452,70549.92,0,18,19131.83392
453,55664.61,1,12,15240.4498
454,40858.27,1,19,15971.09016
455,37208.98,1,16,27777.2084
456,106805.75,1,20,19902.70778
457,85981.58,1,16,20031.45498
458,90746.74,0,11,21433.19012
459,25530.37,1,11,39464.23548
460,42114.38,1,20,20042.72036
461,62955.76,0,16,36303.49172
462,62601.2,0,8,27143.12844
463,14413.13,1,19,15779.5787
464,57965.53,1,6,24547.26302
465,63861.1,1,12,19579.23044
466,32423.59,1,20,29003.52548
467,43559.2,1,18,27086.80154
468,104052.72,1,10,20528.74104
469,68838.93,1,16,9131.39516
470,85783.86,0,14,27307.28112
471,88167.15,0,19,23000.68728
472,42538.65,1,13,22780.2077
473,97880.4,0,20,17506.40052
474,62681.06,0,18,22410.0595
475,52926.99,1,20,13265.78962
476,67329.21,1,15,20494.9449
477,20846.59,1,13,12794.253
478,58939.63,1,19,27154.39382
479,88674.81,0,6,12641.3657
480,49765.05,1,11,25313.30886
481,41307.46,1,16,23351.5234
482,45362.91,1,10,15935.68468
483,50057.74,1,18,19790.05398
484,44310.77,1,16,14609.58852
485,51853.51,1,16,38493.80346
486,65149.93,0,11,26039.1212
487,85506.78,0,14,32664.773979999998
488,71596.17,0,19,32138.5198
489,55055.51,1,13,16082.13462
490,49025.81,1,4,24862.69366
491,60821.74,0,16,24218.95766
492,81831.6,0,14,37203.11278
493,82521.32,1,9,18929.05708
494,78328.58,0,5,25403.4319
495,31185.41,1,19,30545.2732
496,61411.58,0,13,14997.43946
497,66153.58,0,14,27053.0054
498,55137.78,1,15,24048.36762
499,50513.62,0,14,33649.69006
500,35149.84,1,15,34649.0902
501,83297.56,0,15,28026.6561
502,93908.17,0,14,12235.81202
503,104612.09,1,10,22091.41018
504,55070.37,0,18,18912.96368
505,82861.88,0,6,20316.30816
506,41954.96,1,18,24457.13998
507,106143.54,1,16,22612.83634
508,96169.66,0,17,19885.00504
509,51913.4,0,16,24418.51582
510,59815.67,1,16,12985.76446
511,90189.83,0,20,23969.50996
512,86648.92,0,14,26183.9618
513,25472.09,1,20,28752.46844
514,23477.18,1,19,20567.3652
515,88926.53,0,12,25070.29852
516,47535.86,0,13,19089.99108
517,52835.52,1,18,21203.0545
518,60396.79,0,12,37075.97492
519,47491.72,1,9,24228.6137
520,55869.47,0,20,13690.65538
521,44250.73,1,8,10331.9628
522,27710.15,1,20,24658.30748
523,114701.35,0,10,27220.37676
524,56185.73,1,15,31147.16636
525,52716.99,1,15,27775.59906
526,30496.76,1,17,16437.79876
527,30686.29,1,18,42538.07488
528,55129.13,0,15,15758.65728
529,29643.29,1,8,24770.96128
530,68762.98,0,15,19833.50616
531,82962.29,1,6,17545.02468
532,16907.72,1,19,22128.425
533,30812.73,1,16,19225.17564
534,46181.5,1,5,25112.14136
535,54531.19,0,11,14398.76498
536,96511.12,0,20,13418.67692
537,57887.84,1,13,37608.66646
538,63543.24,0,12,36412.92684
539,45855.28,1,18,25440.44672
540,77605.68,1,8,20501.38226
541,17118.01,1,18,16029.0264
542,96670.08,1,19,8844.932639999999
543,43224.35,1,13,15703.93972
544,60916.85,1,19,20068.4698
545,64801.02,0,18,17960.2344
546,52450.74,1,12,27221.9861
547,60177.16,0,15,13190.15064
548,100429.64,1,12,27461.77776
549,69907.81,1,20,29421.95388
550,58367.72,0,15,24152.97472
551,92028.22,0,12,25622.30214
552,21990.03,1,16,30934.73348
553,67815.16,0,14,21077.52598
554,107739.84,0,11,9281.06378
555,34201.64,1,17,21465.37692
556,77844.32,0,6,25543.44448
557,29576.99,1,17,33060.67162
558,53445.79,1,13,26557.32868
559,63403.84,0,20,39718.5112
560,45854.85,0,9,38001.34542
561,37776.96,1,11,16677.59042
562,114977.51,1,10,22402.0128
563,94770.54,0,20,15995.23026
564,39677.04,1,11,16428.14272
565,68765.21,0,13,26721.48136
566,60557.45,1,8,22467.99574
567,52459.5,1,16,20277.684
568,101767.23,0,16,25607.81808
569,45658.62,1,20,31792.5117
570,97645.54,0,18,22054.39536
571,79332.74,0,16,12456.2916
572,71344.99,0,18,31613.87496
573,96267.37,0,18,32383.13948
574,97742.8,1,6,22817.22252
575,71730.69,0,20,19679.00952
576,92118.45,0,18,24040.32092
577,86895.79,0,11,13320.50718
578,80811.89,1,15,17059.004
579,60301.19,0,11,22765.72364
580,72823.12,0,16,14244.26834
581,64421.22,1,18,17945.75034
582,97257.56,0,13,27669.38262
583,86046.63,0,15,28559.34764
584,66538.26,0,14,18776.16978
585,55775.43,0,4,32901.34696
586,75998.38,0,10,19302.42396
587,41081.74,0,5,16291.34882
588,59857.03,1,13,30743.22202
589,64190.79,0,5,60179.65996
590,73410.03,0,11,17055.78532
591,99430.17,1,9,18780.9978
592,50957.91,1,15,22772.161
593,84360.9,0,15,31077.96474
594,93693.78,0,10,25895.88994
595,50087.6,1,11,29273.8946
596,44378.87,1,13,38493.80346
597,95736.89,0,15,28821.67006
598,25309.79,1,16,19672.57216
599,89301.89,0,14,24561.74708
600,37872.08,1,18,32981.81396
601,32015.55,1,8,22487.307819999998
602,53270.42,0,18,12548.02398
603,35354.08,1,9,19015.96144
604,102614.05,1,11,37904.78502
605,60686.91,1,18,19218.73828
606,32230.06,1,16,27239.68884
607,28056.3,1,15,18494.53528
608,80387.31,0,6,21645.623
609,90394.28,0,20,25897.49928
610,78238.12,1,15,22900.9082
611,20636.39,1,18,15512.42826
612,62340.6,1,9,10275.6359
613,91123.54,0,13,21697.12188
614,16043.96,1,17,21201.44516
615,51197.87,1,11,25533.78844
616,74060.87,0,12,19104.47514
617,32222.66,1,19,28380.7109
618,26129.87,1,12,29718.07244
619,88099.83,0,17,28691.31352
620,81441.14,1,16,17676.99056
621,69025.81,1,12,15522.0843
622,43005.66,1,18,14698.10222
623,72457.14,0,11,10713.37638
624,61418.1,0,3,17714.00538
625,95856.58,1,10,25572.4126
626,47468.8,1,17,15646.00348
627,57628.09,1,18,12403.18338
628,67773.9,0,19,19252.53442
629,27983.28,1,16,28198.85548
630,30048.86,1,19,18555.6902
631,69954.14,1,17,16909.33538
632,68798.47,0,19,21381.69124
633,96111.84,1,7,14929.84718
634,98987.32,0,19,27312.10914
635,93424.64,0,19,34626.55944
636,51221.41,1,17,16349.28506
637,50693.66,0,13,9483.84062
638,60867.55,0,18,27316.93716
639,33329.29,1,18,18351.30402
640,86023.79,1,19,19130.22458
641,38155.67,1,15,34013.4009
642,72108.55,0,16,30696.55116
643,87508.53,0,15,23526.94146
644,101103.66,1,11,15407.82116
645,71912.15,1,13,24122.39726
646,75682.44,0,11,31232.46138
647,49830.26,1,10,15451.27334
648,96731.56,0,8,23219.55752
649,80440.24,0,16,29418.7352
650,62700.93,0,12,21014.76172
651,75160.29,1,18,22432.59026
652,104705.85,1,12,32209.33076
653,90899.86,1,15,17231.20338
654,103643.22,0,18,41511.31596
655,89084.24,1,19,20659.09758
656,88657.86,0,15,20969.7002
657,61331.48,0,7,32106.333
658,41625.0,0,17,26058.43328
659,30430.91,1,20,23948.58854
660,79290.13,1,15,23779.60784
661,108974.78,0,6,20509.42896
662,105346.4,0,7,20942.34142
663,25477.08,1,13,27461.77776
664,91190.27,0,11,18426.943
665,65653.57,1,6,16680.8091
666,93325.37,0,12,9619.02518
667,90110.38,0,19,23580.04968
668,86579.53,0,7,38340.91616
669,43509.27,0,19,25145.9375
670,43966.31,1,18,19510.02882
671,38979.54,1,18,19696.71226
672,58125.86,1,17,20794.28214
673,42052.8,0,20,63127.97084
674,73584.98,1,13,13241.64952
675,48287.26,1,10,20900.49858
676,67867.53,0,19,13309.2418
677,68562.61,0,12,30680.45776
678,80135.94,0,7,36272.91426
679,82571.99,0,17,29137.1007
680,58997.33,0,13,24608.41794
681,86868.2,0,15,35326.62234
682,92393.34,0,2,30743.22202
683,82078.97,0,20,22467.99574
684,51097.21,1,16,19876.95834
685,76746.96,0,17,12958.40568
686,31126.22,1,8,25570.80326
687,87421.77,1,17,13521.67468
688,54789.0,1,14,9567.5263
689,47870.87,1,11,43307.3394
690,77192.03,1,12,15763.4853
691,60215.14,0,18,28297.02522
692,38926.9,1,13,16836.91508
693,77690.95,0,10,32296.23512
694,42749.08,1,6,30130.06348
695,37562.77,1,16,34594.37264
696,25479.97,1,15,25557.92854
697,84121.67,1,20,23742.59302
698,96223.45,1,12,21233.63196
699,52092.5,1,11,20605.98936
700,53350.22,1,6,18838.93404
701,43823.16,1,20,20099.04726
702,92956.75,0,17,28351.74278
703,85323.93,0,15,584.19042
704,68765.44,0,17,25060.64248
705,48849.12,0,20,8140.04172
706,76616.81,0,2,20931.07604
707,39044.74,1,18,13330.16322
708,39937.5,1,20,17385.70002
709,70756.45,1,8,18454.30178
710,65982.96,1,7,11363.54974
711,73918.08,0,5,24507.02952
712,47279.05,0,18,20869.92112
713,35508.95,1,18,22223.37606
714,71871.52,1,13,10338.40016
715,18234.99,1,18,13595.70432
716,93710.17,1,15,20908.54528
717,27831.26,1,16,10544.39568
718,41566.03,1,20,14125.17718
719,72281.71,0,8,32930.31508
720,58031.32,1,17,13647.2032
721,63153.7,0,17,27642.02384
722,61992.78,0,19,25918.4207
723,60826.02,0,15,32846.6294
724,78971.4,0,18,14575.79238
725,80857.98,0,6,11717.60454
726,41841.71,1,15,30928.29612
727,74738.67,0,20,30883.2346
728,37754.27,1,15,26195.22718
729,48880.96,1,19,19704.75896
730,111232.69,1,5,18615.23578
731,43522.35,1,12,28754.07778
732,89175.83,0,10,24717.85306
733,84895.96,0,8,28704.18824
734,31159.1,1,13,14157.36398
735,33671.6,1,18,24001.69676
736,75378.47,0,12,16381.47186
737,52821.78,0,12,20770.14204
738,97969.32,1,19,14873.52028
739,82130.68,0,12,17195.7979
740,69938.01,1,11,17865.283339999998
741,60151.71,0,20,40775.84758
742,90791.51,0,16,20168.24888
743,69216.95,0,7,38513.11554
744,51786.56,1,19,25874.96852
745,85492.67,0,18,35975.18636
746,78506.26,0,20,27740.19358
747,44195.14,0,10,15274.24594
748,83396.53,0,7,17722.05208
749,97387.88,0,13,27793.3018
750,11849.57,1,18,29318.95612
751,65749.97,0,18,31290.39762
752,57209.28,0,16,22376.26336
753,22733.76,1,16,29211.13034
754,68274.8,0,13,20358.151
755,50935.23,0,8,29270.67592
756,83821.74,1,16,21219.1479
757,76443.36,1,5,17163.6111
758,94356.13,1,10,21877.36796
759,20653.47,1,17,24648.65144
760,44063.92,1,20,32732.36626
761,74128.76,1,8,30112.36074
762,18239.6,1,20,21821.04106
763,42592.0,1,16,21972.31902
764,93973.19,0,11,25656.09828
765,13019.74,1,20,16315.48892
766,80643.48,0,10,28659.12672
767,47153.12,1,20,10682.79892
768,61161.66,0,17,19370.01624
769,11053.79,1,20,32117.59838
770,21895.94,1,20,18959.63454
771,80450.28,0,18,17601.35158
772,87141.84,0,19,21861.27456
773,50261.76,1,14,11511.60902
774,91365.12,0,12,27712.8348
775,96716.21,1,18,18993.43068
776,46222.38,1,19,11173.64762
777,93889.4,1,14,21246.50668
778,58691.22,0,17,22517.88528
779,97824.01,0,11,14258.7524
780,85152.64,0,10,17493.5258
781,45171.94,1,16,43497.24152
782,43950.05,0,13,13645.593859999999
783,31848.92,1,19,13273.83632
784,47803.95,0,13,21262.60008
785,91780.26,0,20,17723.66142
786,81355.74,1,10,12609.1789
787,77585.11,0,15,15694.28368
788,61947.0,0,4,15243.66848
789,64948.91,0,13,24888.4431
790,87487.93,0,2,22987.81256
791,48875.07,0,13,21156.38364
792,16354.14,1,20,20929.4667
793,59443.2,0,16,25968.31024
794,49207.48,1,14,16104.66538
795,71282.48,1,6,16629.31022
796,18887.11,1,20,19289.54924
797,37244.93,1,9,19872.13032
798,66905.3,0,12,38022.26684
799,50313.96,0,13,29090.42984
800,82721.7,1,8,19410.24974
801,105926.86,1,9,30076.95526
802,66987.51,1,18,18349.69468
803,70302.9,0,2,35733.78536
804,69005.74,1,12,23044.13946
805,76833.14,0,19,19178.50478
806,75393.38,0,16,17372.8253
807,47033.03,1,15,14448.65452
808,111319.48,1,10,26489.7364
809,109509.96,0,12,37605.44778
810,58570.17,1,13,28260.0104
811,80390.26,0,16,14625.681919999999
812,29982.33,1,19,23890.6523
813,49528.74,1,3,29504.03022
814,96402.43,0,8,18011.73328
815,27616.01,1,20,14556.4803
816,55931.97,1,19,12205.23456
817,111263.35,1,5,15190.56026
818,101415.11,1,5,26451.11224
